mjd,mag,magerr,filter
1325.328857,16.119598,0.018178,1
1325.349731,16.116632,0.018189,1
1325.370605,16.119034,0.018218,1
1325.391357,16.120831,0.018228,1
1325.412231,16.118868,0.018226,1
1325.433105,16.118753,0.018227,1
1325.453857,16.121216,0.018256,1
1325.474731,16.122370,0.018261,1
1325.495605,16.122158,0.018249,1
1325.516357,16.121847,0.018251,1
1325.537231,16.124798,0.018310,1
1325.558105,16.124889,0.018334,1
1325.578857,16.126877,0.018335,1
1325.599731,16.125675,0.018331,1
1325.620605,16.124592,0.018288,1
1325.641479,16.127676,0.018362,1
1325.662231,16.128756,0.018384,1
1325.683105,16.127281,0.018342,1
1325.703979,16.128311,0.018367,1
1325.724731,16.128641,0.018383,1
1325.745605,16.130247,0.018395,1
1325.766479,16.130756,0.018406,1
1325.787231,16.163368,0.018971,1
1325.808105,16.223116,0.020035,1
1325.828979,16.241348,0.020410,1
1325.849731,16.239855,0.020395,1
1325.870605,16.230509,0.020203,1
1325.891479,16.174213,0.019184,1
1325.912231,16.132479,0.018472,1
1325.933105,16.132029,0.018420,1
1325.953979,16.127977,0.018362,1
1325.974731,16.130711,0.018413,1
1325.995605,16.130003,0.018415,1
1326.016479,16.129658,0.018423,1
1326.037231,16.128933,0.018356,1
1326.058105,16.129221,0.018423,1
1326.078979,16.127151,0.018370,1
1326.099731,16.127705,0.018360,1
1326.120605,16.125854,0.018345,1
1326.141479,16.126713,0.018353,1
1326.162231,16.124949,0.018315,1
1326.183105,16.126724,0.018351,1
1326.203979,16.124111,0.018313,1
1326.224731,16.125244,0.018324,1
1326.245605,16.123913,0.018295,1
1326.266479,16.123075,0.018295,1
1326.287231,16.123953,0.018317,1
1326.308105,16.125065,0.018337,1
1326.328979,16.123903,0.018304,1
1326.349731,16.122595,0.018279,1
1326.370605,16.123621,0.018313,1
1326.391479,16.126162,0.018373,1
1326.412231,16.125473,0.018336,1
1326.433105,16.125986,0.018351,1
1326.453979,16.124224,0.018316,1
1326.474731,16.122589,0.018302,1
1326.495605,16.125650,0.018340,1
1326.516479,16.123602,0.018301,1
1326.537231,16.122551,0.018272,1
1326.558105,16.123276,0.018280,1
1326.578979,16.124134,0.018309,1
1326.599731,16.127813,0.018372,1
1326.620605,16.135342,0.018482,1
